JN042326.1	voucher	MVZ:Mamm:197180	zonadhesin (ZAN) gene, exon 17 and partial cds
JN042327.1	voucher	MVZ:Mamm:197180	zonadhesin (ZAN) gene, exon 17 and partial cds
JN042415.1	voucher	MVZ:Mamm:197180	cytochrome b (cytb) gene, partial cds; mitochondrial
JN042723.1	voucher	MVZ:Mamm:197180	acrosin (ACR) gene, exon 2 and partial cds
JN042724.1	voucher	MVZ:Mamm:197180	acrosin (ACR) gene, exon 2 and partial cds
JN042957.1	voucher	MVZ:Mamm:197180	zona pellucida glycoprotein 2 (Zp2) gene, exons 9, 10 and partial cds
JN042958.1	voucher	MVZ:Mamm:197180	zona pellucida glycoprotein 2 (Zp2) gene, exons 9, 10 and partial cds
JN043189.1	voucher	MVZ:Mamm:197180	unknown genomic sequence
JN043190.1	voucher	MVZ:Mamm:197180	unknown genomic sequence
U65280.1			cytochrome b (cytb) gene, mitochondrial gene encoding mitochondrial protein, complete cds
GQ175238.1	voucher	MVZ:196186	cytochrome b (cytb) gene, partial cds; mitochondrial
U65270.1			cytochrome b (cytb) gene, mitochondrial gene encoding mitochondrial protein, complete cds
GQ175236.1	voucher	MVZ:199943	cytochrome b (cytb) gene, partial cds; mitochondrial
U65282.1			cytochrome b (cytb) gene, mitochondrial gene encoding mitochondrial protein, complete cds
GQ175237.1	voucher	MVZ:196189	cytochrome b (cytb) gene, partial cds; mitochondrial
DQ663651.1			cytochrome b gene, partial cds; mitochondrial
EU175987.1			haplotype NA06 arginine-vasopressin receptor 1a (avpr1a) gene, avpr1a-1 allele, exon 1 and partial cds
EU175988.1			haplotype NA07 arginine-vasopressin receptor 1a (avpr1a) gene, avpr1a-2 allele, exon 1 and partial cds
GU954388.1	isolate	01_01	arginine vasopressin 1a receptor (avpr1a) gene, promoter region and 5' UTR
GU954389.1	isolate	01_02	arginine vasopressin 1a receptor (avpr1a) gene, promoter region and 5' UTR
AY859470.1	isolate	MVZ149721	cytochrome b (cytb) gene, partial cds; mitochondrial
U65264.1			cytochrome b (cytb) gene, mitochondrial gene encoding mitochondrial protein, complete cds
JN042328.1	voucher	MVZ:Mamm:197184	zonadhesin (ZAN) gene, exon 17 and partial cds
JN042329.1	voucher	MVZ:Mamm:197184	zonadhesin (ZAN) gene, exon 17 and partial cds
JN042461.1	voucher	MVZ:Mamm:197184	cytochrome b (cytb) gene, partial cds; mitochondrial
JN042725.1	voucher	MVZ:Mamm:197184	acrosin (ACR) gene, exon 2 and partial cds
JN042726.1	voucher	MVZ:Mamm:197184	acrosin (ACR) gene, exon 2 and partial cds
JN042959.1	voucher	MVZ:Mamm:197184	zona pellucida glycoprotein 2 (Zp2) gene, exons 9, 10 and partial cds
JN042960.1	voucher	MVZ:Mamm:197184	zona pellucida glycoprotein 2 (Zp2) gene, exons 9, 10 and partial cds
